search_term,name,url,price,provider_id,photo,details,brand
arroz,arroz cañuelas grano largo fino 00000 1kgs,https://www.lacoopeencasa.coop/producto/arroz-ca%C3%B1uelas-grano-largo-fino-00000-1kgs/298783,1590,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/c/4/0c416c3ac0638e115cc6f49ebe2ed2e0,No details found,
arroz,avena primer precio instantánea 350grs,https://www.lacoopeencasa.coop/producto/avena-primer-precio-instantanea-350grs/283200,1649,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/2/a/8/2a8a79092d3b435df7a9ffb282cb4a38,No details found,
arroz,alimento infantil nestum arroz sin azúcar agregada 225grs,https://www.lacoopeencasa.coop/producto/alimento-infantil-nestum-arroz-sin-azucar-agregada-225grs/298898,3810,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/e/4/6/e462e3368e2866d752825fbebb453bd5,No details found,
arroz,tostaditas de arroz dos hermanos con sal 120grs,https://www.lacoopeencasa.coop/producto/tostaditas-de-arroz-dos-hermanos-con-sal-120grs/265708,899,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/4/4/2/44292b96b9ff1e74a24a783df327882d,No details found,
arroz,arroz gallo oro parboil selección 1kgs,https://www.lacoopeencasa.coop/producto/arroz-gallo-oro-parboil-seleccion-1kgs/309318,3600,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/d/2/7/d27522b348f2627b94fc06c4769cb99d,No details found,
arroz,arroz dos hermanos no se pasa 1kgs,https://www.lacoopeencasa.coop/producto/arroz-dos-hermanos-no-se-pasa-1kgs/283905,2390,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/8/b/68b4e37690a53d2acc173531eb285a11,No details found,
arroz,avena morixe instantánea 400grs,https://www.lacoopeencasa.coop/producto/avena-morixe-instantanea-400grs/309701,2265,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/7/8/8/788ac749007105fa8b5bd98a9cd8208e,No details found,
arroz,arroz gallo oro parboil 500grs,https://www.lacoopeencasa.coop/producto/arroz-gallo-oro-parboil-500grs/296059,1490,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/8/8/7/887e581ddd9e5649b3285c94cf7cf64d,No details found,
arroz,tostadas de arroz leiva aireadas sin sal agregada 150grs,https://www.lacoopeencasa.coop/producto/tostadas-de-arroz-leiva-aireadas-sin-sal-agregada-150grs/295732,990,coope,https://www.lacoopeencasa.coop/media/lcec/publico/articulos/6/3/e/63e8e0fff010d88f529d677cf1dac80a,No details found,
arroz,tostadas de arroz leiva aireadas dulces 150grs,https://www.lacoopeencasa.coop/producto/tostadas-de-arroz-leiva-aireadas-dulces-150grs/295731,990,coope,assets/img/cargando_400.gif,No details found,
arroz,tostaditas de arroz dos hermanos sin sal 120grs,https://www.lacoopeencasa.coop/producto/tostaditas-de-arroz-dos-hermanos-sin-sal-120grs/265707,899,coope,assets/img/cargando_400.gif,No details found,
arroz,galletas de arroz dos hermanos slim con sal 100grs,https://www.lacoopeencasa.coop/producto/galletas-de-arroz-dos-hermanos-slim-con-sal-100grs/276407,1050,coope,assets/img/cargando_400.gif,No details found,
arroz,arroz primor largo fino 00000 1kgs,https://www.lacoopeencasa.coop/producto/arroz-primor-largo-fino-00000-1kgs/237190,1899,coope,assets/img/cargando_400.gif,No details found,
arroz,tostadas de arroz cooperativa clásicas 150grs,https://www.lacoopeencasa.coop/producto/tostadas-de-arroz-cooperativa-clasicas-150grs/277548,1220,coope,assets/img/cargando_400.gif,No details found,
arroz,avena cooperativa tradicional 400grs,https://www.lacoopeencasa.coop/producto/avena-cooperativa-tradicional-400grs/273936,1810,coope,assets/img/cargando_400.gif,No details found,
arroz,"alimento para gatos raza pescado, carne y arroz 1kgs","https://www.lacoopeencasa.coop/producto/alimento-para-gatos-raza-pescado,-carne-y-arroz-1kgs/122992",2599,coope,assets/img/cargando_400.gif,No details found,
arroz,postre arroz con leche tregar con dulce de leche pote 180grs,https://www.lacoopeencasa.coop/producto/postre-arroz-con-leche-tregar-con-dulce-de-leche-pote-180grs/713472,1100,coope,assets/img/cargando_400.gif,No details found,
arroz,galletas de arroz cooperativa integral clásicas 100grs,https://www.lacoopeencasa.coop/producto/galletas-de-arroz-cooperativa-integral-clasicas-100grs/281074,920,coope,assets/img/cargando_400.gif,No details found,
arroz,avena integral extrafina quaker 470grs,https://www.lacoopeencasa.coop/producto/avena-integral-extrafina-quaker-470grs/282627,3367,coope,assets/img/cargando_400.gif,No details found,
arroz,galletas de arroz dos hermanos slim sin sal agregada 100grs,https://www.lacoopeencasa.coop/producto/galletas-de-arroz-dos-hermanos-slim-sin-sal-agregada-100grs/276406,1050,coope,assets/img/cargando_400.gif,No details found,
arroz,arroz integral dos hermanos 1kgs,https://www.lacoopeencasa.coop/producto/arroz-integral-dos-hermanos-1kgs/290917,2279,coope,assets/img/cargando_400.gif,No details found,
